Cuisine,Dance Clubs,Tapas Bars,Pakistani,Vegetarian,Food Court,Tex-Mex,Middle Eastern,Chinese,Brasseries,Food Stands,Hot Dogs,Ethiopian,Italian,Korean,Latin American,Venezuelan,Vegan,Greek,Fast Food,Ukrainian,Ethnic Food,Delis,Vietnamese,Mexican,Indian,Russian,Cantonese,Peruvian,Mediterranean,Turkish
Hot Dogs,0.0617331636,0.0603164356,0.019149499,0.1101891384,0.0337633131,0.1347908867,0.0367265278,0.0767283713,0.0715056652,0.128638728,1,0.0183804515,0.1380861405,0.1068784324,0.25210061,0.0194132896,0.0868644477,0.0659757393,0.5317599183,0.0007505167,0.0616649467,0.1491551605,0.0384622155,0.1124391058,0.0183006234,0.0172743397,0.3114155503,0.9900216369,0.0983085345,0.0219818588
Ethiopian,0.0057280219,0.0061204027,0.0199153666,0.0319274256,0.0162307512,0.0079713021,0.0053722842,0.0052546729,0.0193340604,0.0051920391,0.0183804509,1,0.0103379054,0.0017919216,0.0069713651,0.0002675336,0.2025557617,0.0063854244,0.0176555417,0.0003132391,0.0041319172,0.0061067276,0.0033313971,0.0042256591,0.0180253737,0.0006805106,0.006570302,0.0156878475,0.0214248425,0.0183525334
Italian,0.1779585275,0.1851301272,0.1310037668,0.1872689289,0.107296817,0.1080898868,0.0351737899,0.1010452567,0.2055257941,0.0873098364,0.1380861433,0.010337906,1,0.6854782394,0.099076695,0.0880301691,0.141283136,0.1087033568,0.1858338329,0.0514682976,0.0628169574,0.255212456,0.0380383306,0.1257791659,0.1143846125,0.0324412281,0.057683549,0.0744882935,0.2602652623,0.0509426874
Korean,0.0682103035,0.0789580592,0.0010514873,0.0668532516,0.0618921951,0.0328863677,0.0047528884,0.1541157035,0.0579363358,0.0799845376,0.1068784289,0.0017919216,0.6854782033,1,0.0273640519,0.0183644075,0.0606116896,0.0303505567,0.0917729633,0.0016491782,0.0839913195,0.0688277689,0.057798755,0.0733873949,0.0014050442,0.0026215803,0.094585236,0.0424248593,0.0997055604,0.0176863712
Latin American,0.0703317423,0.4640036168,0.0323893508,0.1347757428,0.0324712272,0.2616998961,0.0207259861,0.0557945698,0.1035774422,0.0780676307,0.2521006016,0.0069713651,0.0990766898,0.0273640519,1,0.5461241442,0.0713407126,0.0465917679,0.2219339969,0.0332658987,0.0591462809,0.0863697819,0.0202709072,0.3463347452,0.0295082193,0.0039238137,0.0766926273,0.3146235957,0.1161034072,0.0037074725
Venezuelan,0.0630940786,0.9712242458,0,0.0499801235,0.0007415156,0.0786117489,0.0016457472,0.030396031,0.0351839811,0.0353023229,0.019413289,0.0002675336,0.0880301644,0.0183644075,0.5461241441,1,0.0034607483,0.0294671018,0.0538071928,0.0727398206,0.0080588305,0.0219768612,0.0016717889,0.0925627389,0,0.0002876541,0.0052774208,0.062342647,0.1011708722,0
Vegan,0.0571860201,0.0609515182,0.1403356204,0.6644982551,0.0562882705,0.1249128279,0.0714854042,0.1549208521,0.1257393797,0.0737130816,0.0868644481,0.2025557695,0.1412831339,0.0606116919,0.0713407154,0.0034607485,1,0.070905219,0.1869524291,0.0016779633,0.0513789038,0.1285729185,0.0497319122,0.102993516,0.1518286033,0.0036642662,0.0981143525,0.0442376164,0.2002117705,0.0474302463
Greek,0.0351680084,0.05029995,0.0619906501,0.2068598822,0.0393981854,0.0585281538,0.4935784221,0.0220365012,0.0707147111,0.0235525611,0.0659757369,0.0063854244,0.1087033506,0.0303505565,0.0465917677,0.0294671017,0.070905216,1,0.1324888093,0.0030616827,0.1144135318,0.1098487255,0.0127792571,0.0569427288,0.0563275811,0.0119489743,0.0208748737,0.0538494553,0.7291590654,0.1777408372
Fast Food,0.0880036907,0.1141886883,0.0677278245,0.2558513374,0.1114510893,0.3277417608,0.0902411285,0.1796139351,0.2064688005,0.1415714569,0.5317599075,0.0176555419,0.1858338255,0.0917729644,0.2219339997,0.0538071935,0.1869524243,0.1324888115,1,0.0056525703,0.1930989787,0.3881649283,0.0562494709,0.3123411114,0.065101595,0.0545965479,0.2293089597,0.4666525303,0.2104054809,0.1159995267
Ukrainian,0.0357368337,0.1863521864,0.0004476984,0.0048687973,0.0003814821,0.0051288837,0.0006258456,0.0030301665,0.0215913104,0.0030620919,0.0007505166,0.0003132391,0.0514682949,0.0016491782,0.0332658987,0.0727398206,0.0016779633,0.0030616828,0.0056525702,1,0.0007410116,0.0031100031,0.000741594,0.00374998,0.0005790236,0.0387214397,0.0007853221,0.0025945415,0.0422190787,0.0005879998
Ethnic Food,0.0321255356,0.027772506,0.042424802,0.1240577369,0.0259372365,0.1273758149,0.1271764497,0.2419559695,0.0529733661,0.1062235382,0.0616649444,0.0041319172,0.0628169538,0.0839913191,0.0591462806,0.0080588304,0.0513789016,0.1144135317,0.1930989753,0.0007410116,1,0.0714999823,0.1693224333,0.1584858861,0.0395770154,0.0424781027,0.151758991,0.0507362815,0.1557061509,0.0648167598
Delis,0.0615573551,0.0686994329,0.0333008464,0.165958142,0.0501230488,0.1417914922,0.062684577,0.0706778931,0.1301022995,0.0741977741,0.1491551485,0.0061067273,0.2552124304,0.0688277656,0.0863697779,0.0219768602,0.1285729074,0.1098487208,0.3881649049,0.003110003,0.0714999793,1,0.0400749416,0.1069453623,0.0320526653,0.0250049649,0.0446905505,0.0750141502,0.156918134,0.0400889171
Vietnamese,0.0163315033,0.0175167289,0.0217920593,0.0725528984,0.0290677832,0.0355011601,0.0089807759,0.2333566128,0.047020992,0.0195266984,0.0384622157,0.0033313972,0.03803833,0.0577987572,0.0202709079,0.0016717889,0.0497319121,0.0127792576,0.0562494723,0.000741594,0.1693224405,0.040074945,1,0.036191821,0.0213056765,0.0028339268,0.1860620624,0.0312429279,0.0389593299,0.021943795
Mexican,0.1140755097,0.1050883689,0.0222208162,0.2379568237,0.0542302397,0.7569349751,0.0327751468,0.1272375738,0.0845064093,0.1246150339,0.1124391066,0.0042256592,0.1257791642,0.0733873978,0.3463347591,0.0925627426,0.1029935161,0.0569427313,0.3123411199,0.0037499802,0.1584858932,0.1069453716,0.0361918211,1,0.0218350921,0.0021208052,0.0546460682,0.0999693239,0.1147311745,0.0257922232
Indian,0.0400175418,0.0548711396,0.9346102669,0.3400612663,0.0005990117,0.0364194949,0.0605090495,0.0323351157,0.0580796088,0.0278589413,0.018300623,0.018025374,0.1143846079,0.0014050442,0.0295082196,0,0.1518285995,0.0563275821,0.065101595,0.0005790236,0.0395770161,0.0320526673,0.021305676,0.0218350916,1,0.0010200733,0.0044256151,0,0.4736442912,0.0777989182
Russian,0.0037797553,0.0062563366,0.0007377086,0.0075277543,0,0.0329033021,0.0282809635,0.0167488635,0.0016731578,0.0026364513,0.0172743392,0.0006805106,0.0324412264,0.0026215803,0.0039238137,0.0002876541,0.0036642661,0.0119489744,0.0545965472,0.0387214397,0.0424781029,0.0250049661,0.0028339267,0.0021208052,0.0010200733,1,0.0171645165,0.0168680763,0.0206336575,0.0272327404
Cantonese,0.0402144867,0.0474720255,0.0020253552,0.1407318593,0.0279545245,0.0576330239,0.0120506189,0.8238777813,0.0660586588,0.0773553432,0.3114155297,0.0065703018,0.0576835441,0.0945852328,0.0766926247,0.0052774207,0.0981143455,0.0208748731,0.2293089491,0.000785322,0.1517589867,0.0446905511,0.1860620492,0.0546460642,0.0044256149,0.0171645159,1,0.3094616104,0.0575498097,0.0017950057
Peruvian,0.0496609335,0.080748843,0,0.0610625332,0.0006364118,0.1154409882,0.0287675319,0.0662794227,0.0267382095,0.1161518036,0.9900215741,0.015687847,0.0744882873,0.042424858,0.3146235862,0.0623426452,0.0442376133,0.0538494538,0.4666525102,0.0025945414,0.0507362802,0.0750141515,0.0312429257,0.0999693169,0,0.0168680758,0.3094616114,1,0.0662530364,0
Mediterranean,0.0918308183,0.1799571332,0.5591722759,0.4337311389,0.0746259277,0.1242531988,0.7008696876,0.0918857928,0.1993813521,0.0613231003,0.0983085288,0.0214248419,0.260265242,0.0997055579,0.1161034044,0.1011708697,0.2002117578,0.7291590503,0.210405473,0.0422190777,0.1557061477,0.1569181375,0.0389593275,0.1147311671,0.4736442733,0.020633657,0.0575498102,0.0662530367,1,0.239270627
Turkish,0.0401495238,0.0321483,0.0655937087,0.0977040831,0.0205747092,0.0519093348,0.2267503376,0.0329612697,0.0709091076,0.0034505843,0.0219818581,0.0183525334,0.0509426847,0.0176863712,0.0037074725,0,0.0474302445,0.1777408379,0.1159995252,0.0005879998,0.0648167601,0.040088919,0.0219437941,0.0257922222,0.0777989172,0.0272327404,0.0017950057,0,0.2392706329,1
