Cuisine,Dance Clubs,Tapas Bars,Pakistani,Vegetarian,Food Court,Tex-Mex,Middle Eastern,Chinese,Brasseries,Food Stands,Hot Dogs,Ethiopian,Italian,Korean,Latin American,Venezuelan,Vegan,Greek,Fast Food,Ukrainian,Ethnic Food,Delis,Vietnamese,Mexican,Indian,Russian,Cantonese,Peruvian,Mediterranean,Turkish
Hot Dogs,0.0174650128,0.0386178168,0.0436229965,0.0567544656,0.0341902207,0.0403734001,0.0351925971,0.0365498708,0.043667326,0.0690192944,1,0.003566491,0.0617199556,0.1819230658,0.0249919616,0.0049172568,0.0505628018,0.069636301,0.3323045436,0.0075060213,0.0393486682,0.0960520694,0.009120113,0.0691872097,0.0375287065,0.013616647,0.0127951029,0.0053984619,0.0631938867,0.0106712032
Ethiopian,0.0029619922,0.0051808757,0.0078969475,0.0307116825,0.0014830317,0.0034111701,0.0232733577,0.0051774942,0.0059318733,0.0040653791,0.003566491,1,0.0079159338,0.0026171525,0.0036549896,0.000424297,0.3753507388,0.0072789741,0.0072821465,0.002762174,0.0297472667,0.0038225478,0.0005864745,0.0047458916,0.007728977,0.0019078709,0.0022867944,0.0012328082,0.0163530272,0.0069812193
Italian,0.18494416,0.124902365,0.0158099197,0.1101929344,0.0577088781,0.0485135467,0.0396127802,0.069595595,0.1447913785,0.0370043653,0.0617199556,0.0079159338,1,0.0243035408,0.0552479001,0.0047322014,0.1330923776,0.0469334849,0.0935814488,0.0354732671,0.0441451247,0.171205593,0.0068695706,0.0605402461,0.0138937138,0.0202083169,0.0397849786,0.0105678351,0.1133426363,0.0239129274
Korean,0.0080612159,0.0228601932,0.0046560287,0.0242912252,0.0267315533,0.0217034086,0.0049724828,0.1144417043,0.0165162997,0.0463690836,0.1819230658,0.0026171525,0.0243035408,1,0.0099432296,0.0013941306,0.0236550138,0.0054658742,0.0430032998,0.0058442809,0.065712823,0.0093377727,0.0367218425,0.0895450362,0.004302075,0.0061684278,0.0531493138,0.0019635449,0.010389938,0.0027774152
Latin American,0.0207239778,0.1797238667,0.0049052485,0.0523428022,0.0110964626,0.1641116579,0.014196062,0.0308295034,0.0344350093,0.0214908614,0.0249919616,0.0036549896,0.0552479001,0.0099432296,1,0.5580174401,0.0371743942,0.0111566372,0.0522115616,0.0223077648,0.0386861069,0.0163041619,0.0035405931,0.2444000524,0.0050709317,0.0040849716,0.0091769433,0.2087809186,0.0311587846,0.0061986239
Venezuelan,0.0012606829,0.0098270782,0.0007913015,0.00323004,0.0010938085,0.0089253135,0.0020509784,0.0034882825,0.0029727421,0.0096511608,0.0049172568,0.000424297,0.0047322014,0.0013941306,0.5580174401,1,0.0044174938,0.0028162862,0.0094403291,0.001275948,0.0065944961,0.0023657726,0.0013425297,0.0161721758,0.0006363513,0.0006337781,0.0014849486,0.0128817029,0.0031198957,0.0005078958
Vegan,0.0255471512,0.0365027154,0.2196638371,0.4665135578,0.0320023791,0.0538410898,0.1451210187,0.1450568813,0.0839562847,0.0395699958,0.0505628018,0.3753507388,0.1330923776,0.0236550138,0.0371743942,0.0044174938,1,0.0862295512,0.1047483755,0.0161231704,0.1025607518,0.0621930531,0.0466561063,0.0638467122,0.2325212443,0.0117311713,0.0820284792,0.0058223386,0.1440811194,0.0651318955
Greek,0.0235077737,0.0186555142,0.0928230623,0.3801263642,0.0075767746,0.0105642892,0.7038693615,0.0117637877,0.0107143507,0.0075452019,0.069636301,0.0072789741,0.0469334849,0.0054658742,0.0111566372,0.0028162862,0.0862295512,1,0.0577115831,0.0153662398,0.1676771016,0.0383008355,0.0016803094,0.0149686872,0.0097104836,0.043488837,0.0055254831,0.0026878084,0.8709551589,0.2175895721
Fast Food,0.0279961455,0.0299673699,0.0376759365,0.1074828958,0.0394347368,0.1291925847,0.0556047673,0.0991539228,0.0886087509,0.0670082685,0.3323045436,0.0072821465,0.0935814488,0.0430032998,0.0522115616,0.0094403291,0.1047483755,0.0577115831,1,0.013633871,0.0855732879,0.2112780602,0.0094936528,0.1918819062,0.0358930296,0.0165295356,0.0385642869,0.0185729272,0.0703788272,0.0476366315
Ukrainian,0.0062047174,0.1660451576,0.0058837181,0.0144858702,0.0065402048,0.0129437703,0.015972084,0.0163822475,0.0342964499,0.0050251827,0.0075060213,0.002762174,0.0354732671,0.0058442809,0.0223077648,0.001275948,0.0161231704,0.0153662398,0.013633871,1,0.0122988192,0.0102232023,0.0013668194,0.0224163114,0.0040579603,0.147539931,0.0301799752,0.0018121552,0.0217967165,0.0101910791
Ethnic Food,0.0171195882,0.0181769554,0.0403399595,0.1651449815,0.0163580074,0.0684004418,0.1937838965,0.2642540876,0.025478845,0.0773351575,0.0393486682,0.0297472667,0.0441451247,0.065712823,0.0386861069,0.0065944961,0.1025607518,0.1676771016,0.0855732879,0.0122988192,1,0.0751412203,0.3260695384,0.1169819728,0.0296933643,0.0287464613,0.1692832938,0.0089921047,0.1832623967,0.0822530742
Delis,0.0136725425,0.0245226259,0.0071512721,0.0684725156,0.027190853,0.0272165134,0.053763848,0.0275165115,0.0630179367,0.0205102422,0.0960520694,0.0038225478,0.171205593,0.0093377727,0.0163041619,0.0023657726,0.0621930531,0.0383008355,0.2112780602,0.0102232023,0.0751412203,1,0.0037169474,0.0296260969,0.0064620146,0.046965209,0.0102511723,0.0036099876,0.0513787413,0.029006662
Vietnamese,0.0025775451,0.002839461,0.0020238634,0.0465142886,0.0013023827,0.0034072963,0.0023196176,0.4341746745,0.0041162961,0.0084637163,0.009120113,0.0005864745,0.0068695706,0.0367218425,0.0035405931,0.0013425297,0.0466561063,0.0016803094,0.0094936528,0.0013668194,0.3260695384,0.0037169474,1,0.0061099098,0.0015323654,0.0017956656,0.3716731809,0.0014463632,0.0028934822,0.000971516
Mexican,0.040004681,0.1009586908,0.0073827825,0.1287452646,0.0262731575,0.7041089329,0.0133567157,0.0758314664,0.0480641038,0.0625123953,0.0691872097,0.0047458916,0.0605402461,0.0895450362,0.2444000524,0.0161721758,0.0638467122,0.0149686872,0.1918819062,0.0224163114,0.1169819728,0.0296260969,0.0061099098,1,0.0079752767,0.0051578914,0.0194393695,0.0526155671,0.028644803,0.0062099216
Indian,0.0039978704,0.0054049771,0.9621465375,0.2590084824,0.0023858946,0.0083048236,0.0429296126,0.0145294582,0.0223411595,0.0040923143,0.0375287065,0.007728977,0.0138937138,0.004302075,0.0050709317,0.0006363513,0.2325212443,0.0097104836,0.0358930296,0.0040579603,0.0296933643,0.0064620146,0.0015323654,0.0079752767,1,0.0030117541,0.0066238786,0.0020614403,0.0255035934,0.0430251293
Russian,0.0050807775,0.0158605236,0.0074855529,0.0209592381,0.0036753996,0.0047097544,0.0366884522,0.0171023378,0.0108964117,0.0040050932,0.013616647,0.0019078709,0.0202083169,0.0061684278,0.0040849716,0.0006337781,0.0117311713,0.043488837,0.0165295356,0.147539931,0.0287464613,0.046965209,0.0017956656,0.0051578914,0.0030117541,1,0.0123963728,0.0011385696,0.0420245799,0.0403876642
Cantonese,0.0152822885,0.0190035448,0.0072850556,0.0753971483,0.0225964686,0.0126395129,0.0050804215,0.5916415593,0.0226665046,0.0271714684,0.0127951029,0.0022867944,0.0397849786,0.0531493138,0.0091769433,0.0014849486,0.0820284792,0.0055254831,0.0385642869,0.0301799752,0.1692832938,0.0102511723,0.3716731809,0.0194393695,0.0066238786,0.0123963728,1,0.0031305468,0.0107045779,0.0025194374
Peruvian,0.003609025,0.0501020848,0.0014915126,0.01023308,0.0007366637,0.0131105701,0.003217598,0.0374168435,0.0046598253,0.0051103575,0.0053984619,0.0012328082,0.0105678351,0.0019635449,0.2087809186,0.0128817029,0.0058223386,0.0026878084,0.0185729272,0.0018121552,0.0089921047,0.0036099876,0.0014463632,0.0526155671,0.0020614403,0.0011385696,0.0031305468,1,0.0053412025,0.0011896263
Mediterranean,0.0386024044,0.0583017588,0.0967316407,0.6148295536,0.0226037115,0.0220947233,0.8602731825,0.0249735715,0.0427888301,0.0131317695,0.0631938867,0.0163530272,0.1133426363,0.010389938,0.0311587846,0.0031198957,0.1440811194,0.8709551589,0.0703788272,0.0217967165,0.1832623967,0.0513787413,0.0028934822,0.028644803,0.0255035934,0.0420245799,0.0107045779,0.0053412025,1,0.2930485651
Turkish,0.0113208753,0.0076729429,0.0573857176,0.2190212079,0.0053187029,0.0084665121,0.3468170737,0.0072443407,0.0375981821,0.0039868723,0.0106712032,0.0069812193,0.0239129274,0.0027774152,0.0061986239,0.0005078958,0.0651318955,0.2175895721,0.0476366315,0.0101910791,0.0822530742,0.029006662,0.000971516,0.0062099216,0.0430251293,0.0403876642,0.0025194374,0.0011896263,0.2930485651,1
