28006, PHOTALINE LASER 14 DEVELOPER REPLENISHER CONCENTRATE;POTASSIUM HYDROXIDE, POTASSIUM SULFITE, POTASSIUM CARBONATE, HYDROQUINONE, WATER; STRONG ACIDS, STRONG BASES;KEEP AWAY FROM STRONG ACIDS;Respiratory Protection:SHOULD NOT BE NECESSARY UNDER NORMAL CONDITIONS. IF EXPOSED TO VAPORS THAT EXCEED TLV OR PEL, WEAR APPROVED VAPOR RESPIRATOR. Ventilation:NOT PROVIDED Protective Gloves:IMPERVIOUS Eye Protection:PROTECTIVE GOGGLES. Other Protective Equipment:AS NECESSARY TO PREVENT SKIN CONTACT. EYEWASH FACILITIES IN VICINITY OF USE. Work Hygienic Practices:NOT PROVIDED Supplemental Safety and Health ABBREVIATION: N/A;
GAGE BLOCK PRESERVATIVE,AEROSOL;METHYL CHLOROFORM (1,1,1-TRICHLOROETHANE) (CHLOROTHENE NU),, DICHLOROMETHANE (METHYLENE CHLORIDE) (SUSPECTED HUMAN, MEDIUM ALIPHATIC NAPHTHA (AROMATIC 100), PARAFFIN-NAPTHANES, OIL PETROLEUM DISTILLATES, SOLVENT-DEWAXED HEAVY PARAFFINIC, 2-BUTOXYETHANOL (ETHYLENEGLYCOL MONOBUTYL ETHER), BUTYL, L.P.G. (LIQUID PETROLEUM GAS) PROPELLANT(FLAMMABLE); STRONG OXIDIZERS OR CAUSTICS;DROPPING OF CANS, OPEN FLAMES, HOT SURFACES, & OTHER IGNITION SOURCES;Respiratory Protection:IF EXCEEDED TLV, USE ANY AIR SUPPLIED RESPIRATOR. Ventilation:MECHANICAL (GENERAL)/LOCAL EXHAUST: TO CONTROL VAPORS TO STANDARD. Protective Gloves:VITON/NEOPRENE/POLYVINYL ALCOHOL Eye Protection:SAFETY GOGGLES OR FULL FACE SHIELD Other Protective Equipment:SOLVENT RESISTANT CLOTHING Work Hygienic Practices:REMOVE/LAUNDER CONTAMINATED CLOTHING BEFORE REUSE. Supplemental Safety and Health NOTE TO PHYSICIAN: DANGER FROM LUNG ASPIRATION MUST BE WEIGHED AGAINST TOXICITY WHEN CONSIDERING EMPTYING THE STOMACH. EXPOSURE MAY INCREASE MYOCARDIAL IRRITABILITY;
BROM CRESOL GREEN INDICATOR SOLUTION;METHYL ALCOHOL (METHANOL) (SARA III), BROMO CRESOL GREEN, UNIDENTIFIED COMPONENTS, WATER, CAS #7732-18-5; STRONG OXIDIZING AGENTS;HEAT, IGNITION SOURCES;Ventilation:LOCAL EXHAUST IS RECOMMENDED Protective Gloves:RUBBER Eye Protection:CHEMICAL GOGGLES Other Protective Equipment:FACE SHIELD,CHEMICAL CARTRIDGE RESPIRATOR,APRONS & BOOTS. Supplemental Safety and Health MSDS FROM HACH COMPANY DATED:6/2/86;
DYMEL 134A (PROPELLANT FOR FALCON DPNXL DUST OFF XL);1,1,1,2-TETRAFLUOROETHANE OR DYMEL 134A; STRONG OXIDIZING AGENTS, ALKALI OR ALKALINE EARTH METALS, POWDERED ALUMINUM, ZINC, BERYLLIUM, ETC;AVOID OPEN FLAMES AND HIGH TEMPERATURES;Respiratory Protection:NONE NORMALLY REQUIRED.IF ENGINEERING CONTROLS FAIL OR NON-ROUTINE USE OR AN EMERGENCY OCCURS,WEAR AN MSHA/NIOSH APPROVED AIR-SUPPLIED RESPIRATOR OR SCBA,AS REQUIRED.USE IN ACCORDANCE WITH 29 CFR 1910 .134 AND MANUFACTURER'S RECOMMENDATIONS. Ventilation:USE ADEQUATE MECHANICAL VENTILATION OR LOCAL EXHAUST TO MAINTAIN EXPOSURE BELOW TLV(S),ESPECIALLY IN LOW/ENCLOSED AREAS. Protective Gloves:IMPERVIOUS-NITRILE, BUTYL. Eye Protection:SAFETY GLASSES/CHEMICAL SPLASH GOGGLES. Other Protective Equipment:NONE SPECIFIED BY MANUFACTURER. Work Hygienic Practices:WASH HANDS AFTER HANDLING AND BEFORE EATING, DRINKING, OR SMOKING. LAUNDER CONTAMINATED CLOTHES BEFORE REUSE. Supplemental Safety and Health NOTE FOR PHYSICIANS: BECAUSE OF POSSIBLE CARDIAC DISTURBANCES OF CARDIAC RHYTHM, CALECOLAMINE DRUGS, SUCH AS EPINEPHRINE, SHOULD ONLY BE USED WITH SPECIAL CAUTION IN SITUATIONS OF EMERGENCY LIFE SUPPO RT. NOTE: MSDS RECEIVED FROM DESC, PROVIDED BY CAGE 3K205 FOR SP0900-95-T-9831;
PHOSPHORUS ENRICHMENT SOLUTION PRODUCT CODE: 74-6635;SODIUM DIHYDROGEN PHOSPHATE MONOHYDRATE OR SODIUM, DEIONIZED WATER; WATER REACTIVE MATERIALS;;Respiratory Protection:NONE NEEDED UNDER NORMAL CONDITIONS OF USE WITH ADEQUATE VENTILATION. Ventilation:LOCAL EXHAUST: PREFERRED, GENERAL MECHANICAL: YES. Protective Gloves:NEOPRENE, PVC, OR EQUIVALENT. Eye Protection:SPLASH-PROOF CHEMICAL SAFETY GOGGLES. Other Protective Equipment:LAB COAT, EYE WASH, SAFETY SHOWER. Work Hygienic Practices:NONE SPECIFIED BY RESPONSIBLE PARTY. Supplemental Safety and Health NEVER WEAR CONTACTS IF WORKING WITH CHEMICALS;
MICCROLSOL E-1005 ORANGE (SEE SUPP DATA);POLY VINYL CHLORIDE RESIN, MIXED PLASTICIZERS, MIXED STABILIZERS, PIGMENTS (WHEN COMBINED WITH FILLER 6% OF PRODUCT), FILLER; WATER, PAINT THINNERS & OXIDIZING AGENTS;;Respiratory Protection:MANUFACTURER STATES NONE REQUIRED Ventilation:LOCAL EXHAUST FROM CURING OVEN ALSO PAINT OVEN TYPE Protective Gloves:RECOMMENDED Eye Protection:RECOMND FOR SPLASHING Supplemental Safety and Health OTHER TRADE NAME:MICCROSOL E-1236 ORANGE. FLASHPOINT: PRODUCT CURES BEFORE REACHING FLASHPOINT;
SERMETEL 273;ETHYLENE GLYCOL (SARA III), MORPHOLINE, PHOSPHORIC ACID (SARA III), GLYCERIN; USE ONLY W/SERMETEL 249 ACCORDING TO APPLICATION BULLETIN;AVOID CONTACT W/STRONG OXIDIZERS;Respiratory Protection:FOR SPRAY APPLICATION USE SUPPLIED AIR RESPIRATOR. Ventilation:LOCAL EXHAUST/SPRAY BOOTH W/MINIMUM AIR VELOCITY OF 150 FT2/MIN. Protective Gloves:YES Eye Protection:GOGGLES Other Protective Equipment:HIGHLY EFFICIENT SPRAY BOOTHS REQUIRED. Supplemental Safety and Health;
DEARCIDE 717;BENZYLAMINE, DIMETHYL-, HYDROCHLORIDE, BIS(TRIBUTYLTIN)OXIDE, INERT INGREDIENTS (TYPE NOT SPECIFIED); STRONG OXIDIZING AGENTS;FREEZING, HEAT, OPEN FLAMES;Respiratory Protection:NONE SPECIAL. Ventilation:MECHANICAL EXHAUST: ADEQUATE Protective Gloves:CHEMICAL Eye Protection:GOGGLES, FACE SHIELD Other Protective Equipment:PROTECTIVE CLOTHING Supplemental Safety and Health;
229 DEEP COLORS EXTERIOR GLOSS FINISH;WATER, DISTILLATES (PETROLEUM), SOLVENT-REFINED LIGHT PARAFFINIC, ETHANOL, 2-(2-METHOXYETHOXY)-, ETHANOL, 2-(2-BUTOXYETHOXY)-, ACRYLIC COPOLYMER, PROPANOIC ACID, 2-METHYL-, MONOESTER WITH; OXIDIZERS, ACIDS, REDUCING AGENTS, BASES ALKALIES ALUMINUM, ZINC, HYPOCHLORITES, HYDRAZIDES, HALOGENATED COMPOUNDS, MAGNESIUM, CAUSTICS, SODIUM, POTASSIUM, NITRATES CHLORINATED RUBBER;ELEVATED TEMPERATURES, CONTACT WITH OXIDIZING AGENTS, CONTACT WITH ALUMINUM OR ZINC, STORAGE NEAR ACIDS, FREEZING, SPARKS, OPEN FLAME, IGNITION SOURCES;Respiratory Protection:WHERE RESPIRATORY PROTECTION IS REQUIRED, USE ONLY NIOSH/MSHA APPROVED RESPIRATORS IN ACCORDANCE WITH OSHA STANDARD 29 CFR 1910.134. Ventilation:PROVIDE DILUTION VENTILATION OR LOCAL EXHAUST TO PREVENT BUILD-UP OF VAPORS. Protective Gloves:IMPERVIOUS GLOVES Eye Protection:SAFETY GLASSES OR GOGGLES Other Protective Equipment:IMPERVIOUS CLOTHING, APRON Supplemental Safety and Health WT/GAL: 8.46	 PROLONGED INGESTION OF DIETHYLENE GLYCOL MONOMETHYL ETHER HAS RESULTED IN FETAL DEVELOPMENT ABNORMALITIES IN RATS AND EFFECTS ON FERTILITY IN MICE;
AMAX, G00010;N,N-(OXYDIETHYLENE)BENZOTHIAZOLE-2-SULFENAMIDE; STRONG OXIDIZING AGENTS DO T USE W/NITROSATING AGENTS, NITRITES, NITRATES & NITROGEN OXIDES MAY FORM NITROSAMINES, WHICH MAY CAUSE CANCER;THERMAL STABILITY: MORPHOLINE VAPORS MAY BE RELEASED ABOVE 130 DEG C (265 DEG F);Respiratory Protection:NIOSH APPROVED RESPIRATOR IN ACCORDANCE WITH OSHA 29 CFR 1910.134. Ventilation:PROVIDE EFTIVE EXHST @ OPERATIONS CAPABLE OF CREATING DUST, FUMES/VAPS TO PVNT ROUTINE INHAL. IF LOC EXHST IS USED, CAPTURE VELOCITY (OTHER INFO) Protective Gloves:RUBBER GLOVES. Eye Protection:ANSI APPROVED CHEMICAL WORKERS GOGGLES . Other Protective Equipment:EYE WASH & DELUGE SHOWER MEETING ANSI DESIGN CRITERIA . Work Hygienic Practices:WASH THOROUGHLY AFTER HANDLING AND BEFORE EAITNG OR SMOKING. Supplemental Safety and Health EXPLO HAZ: PROHIBIT FLOW OF POWDER/DUST THROUGH NON-CONDUCTIVE DUCTS, VACUUM HOSES/PIPES, ETC) ONLY USE GROUNDED, ELECTRICALLY CONDUCTIVE TRANSFER LINE WHEN PENEUMATICALLY CONVEYING PROD. PVNT ACCUM O F DUST (WELL VENTLD CNDTNS, PROMPTLY VACUUMING SPILLS, CLEANING OVEREHEAD HORIZONTAL SURFS, ETC). (OTHER INFO);
PURGE WASP AND HORNET SPRAY;PETROLEUM DISTILLATES, (5-BENZYL-3-FURYL) METHYL-3-(2-METHYLPROPENYL) CYCLOPROPANE, PROPELLANTS; ;;Respiratory Protection:NONE Protective Gloves:NONE Eye Protection:NONE Other Protective Equipment:CAUTION: POINT VALVE AWAY FROM FACE AND EYES. Supplemental Safety and Health DATA IS FOR AEROSOL SPRAY;
LUBRIPLATE NO. 100, 105, 107, 110, NO. 115;NON-HAZARDOUS; AVOID CONTACT WITH STRONG OXIDANTS LIKE LIQUID CHLORINE, CONCENTRATED OXYGEN;;Respiratory Protection:NORMALLY NOT NEEDED. Ventilation:LOCAL EXHAUST: USED TO CAPTURE FUMES AND VAPORS. Protective Gloves:USE OIL-RESISTANT GLOVES, IF NEEDED. Eye Protection:IF CHANCE OF EYE CONTACT, WEAR GOGGLES. Other Protective Equipment:USE OIL-RESISTANT APRON, IF NEEDED. Supplemental Safety and Health PRODUCT NAME OR NUMBER : LUBRIPLATE NO. 100, NO. 105, NO. 107, NO. 110, NO. 115 . FORMULA: CALCIUM SOAP, MINERAL OIL AND ADDITIVES. GENERIC/CHEMICAL NAME: PETROLEUM LUBRICATING GREASE. USDA AUTHORIZAT ION: H-2;
CLEAR-LINE;SULFURIC ACID; ALKALINE MATERIALS, CONTACT W/WATER PRODUCES AN EXTREMELY EXOTHERMIC REACTION;;Ventilation:SUFFICIENT TO PREVENT BUILD-UP OF TOXIC VAPORS Protective Gloves:RUBBER Eye Protection:FULL FACESHIELD OR CUP TYPE GOGGLES Other Protective Equipment:RUBBER BOOTS, RUBBER APRON. Supplemental Safety and Health;
0276 PICRIC ACID;PICRIC ACID, WATER; MOST COMMON METALS, STRONG BASES, AMMONIA, STRONG REDUCING AGENTS, STRONG OXIDIZING AGENTS;HEAT, SHOCK, FLAME, SPARKS OR OTHER IGNITION SOURCES;Respiratory Protection:NONE REQUIRED WHERE ADEQUATE VENTILATION CONDITIONS EXIST. IF AIRBORNE CONCENTRATION EXCEEDS TLV, USE A DUST/MIST RESPIRATOR. IF CONCENTRATION EXCEED CAPACITY OF RESPIRATOR, USE A SCBA. Ventilation:GENERAL OR LOCAL EXHAUST TO MEET TLV REQUIREMENTS. Protective Gloves:RUBBER Eye Protection:SAFETY GLASSES W/SIDESHIELDS Other Protective Equipment:UNIFORM Supplemental Safety and Health;
TSI AGAR SLANTS;;;;Respiratory Protection:THE USUAL PRECAUTIONARY MEASURES FOR HANDLING CHEMICALS SHOULD BE FOLLOWED. IN CASE OF BRIEF EXPOSURE, USE A CHEMICAL FUME HOOD NIOSH/MSHA APPROVED RESPIRATOR. IN CASE OF INTENSIVE OR LONGER EXPOSURE USE RESPIRATORY PROTECTIVE DEVICE THAT IS INDEPENDENT OF CIRCULATING AIR. Protective Gloves:PROTECTIVE GLOVES Eye Protection:SAFETY GLASSES Other Protective Equipment:PROTECTIVE WORK CLOTHING. Work Hygienic Practices:THE SUBSTANCE IS NOT SUBJECT TO CLASSIFICATION. OBSERVE FENERAL SAFETY REGULATIONS WHEN HANDLING CHEMICALS. Supplemental Safety and Health ORGANIC SOLVENTS: 0% SOLIDS CONTENT: 100%;
THERMAFIBER LOSS CIRCULATION 101-VS;MINERAL WOOL FIBER, MINERAL OIL; ACIDS;ACIDIC CONDITIONS;Respiratory Protection:USE NIOSH APPROVED NUISANCE DUST MASK IF TLV IS EXCEEDED. Ventilation:LOCAL EXHAUST TO KEEP BELOW TLV IF POSSIBLE/GENERAL MECHANICAL VENTILATION & A DUST RESPIRATOR SHOULD BE USED. Protective Gloves:REQUIRED IF DUST IS IRRITATING Eye Protection:TIGHT FITTING GOGGLES Other Protective Equipment:LOOSE FITTING CLOTHING Work Hygienic Practices:REMOVE/WASH WORK CLOTHES SEPARATELY FROM OTHER WASH. Supplemental Safety and Health;
PHOTO RESIST, TYPE 4;2-ETHOXYETHYL ACETATE (CELLOSOLVE ACETATE) (EGEEA), POLYMERS, 4-BUTYROLACTONE; STRONG OXIDIZERS;;Respiratory Protection:MFR RECOMNDS NIOSH/MSHA APPRVD ORGANIC VAP RESPIRATOR IF NEEDED. Ventilation:LOCAL EXHAUST RECOMMEND TO KEEP BELOW TLV. SEE OTHER EQUIP. Protective Gloves:RECOMMENDED Eye Protection:SAFETY GLASSES Other Protective Equipment:MECH VENT:TEN AIR CHANGES PER HOUR FOR GOOD ROOM VENT. Supplemental Safety and Health OVEREXPOSURE:INN:EXPOS AT MOD CONC HAS PRODUCED ADVERSE REPRODUCTIVE EFFECT IN ANIMALS. FOR FURTHER INFORMATION CONTACT THE NAVY ENVIRONMENTAL HEALTH CENTER. CONTAINER: 1 QUART;
COPPER(HEAVY ACID BUILD),30305006;COPPER (SARA 313) (CERCLA), SULFURIC ACID (SARA 302/313) (CERCLA), WATER; METALS,STRONG BASES,OXIDIZERS,NITRATES,PEROXIDES, ORGANIC COMPOUNDS;;Respiratory Protection:WHERE ENVIRONMENTAL CONTROLS ARE LACKING OR IN ENCLOSED SPACES USE EITHER A SELF-CONTAINED BREATHING APPARATUS OR A NIOSH/ MSHA APPROVED RESPIRATOR FOR ACID GAS,DEPENDING ON THE AIRBORN CONCENTRATION. Ventilation:LOCAL VENTILATION AT THE WORKSITE,MECHANICAL(GENERAL) VENTILATION TO MAINTAIN TLV/PEL. Protective Gloves:NITRILE,NEOPRENE,VINYL,LATEX. Eye Protection:SPLASH GOGGLES.DON'T WEAR CONTACT LENSES Other Protective Equipment:PROTECTIVE CLOTHING,AS NEEDED.PROVIDE A LOCAL EYE WASH STATION AND SAFETY SHOWER. Work Hygienic Practices:WASH HANDS.SEPERATE WORK CLOTHES FROM STREET CLOTHES.LAUNDER WORK CLOTHES BEFORE REUSE.KEEP FOOD OUT OF THE WORK AREA. Supplemental Safety and Health NONE;
TT-L-32A, #17875 WHITE LACQUER, #700W39;XYLENES (O-,M-,P- ISOMERS) (SARA 313) (CERCLA) (VP = 5.1 @, METHYL ISOBUTYL KETONE (HEXONE) (SARA 313) (CERCLA) (VP =, PROPYLENE GLYCOL MONOMETHYL ETHER ACETATE (VP = 3.7 @ 68F), N-BUTYL ALCOHOL (SARA 313) (CERCLA) (VP = 4.3 @ 68F), CELLULOSE NITRATE, ISOPROPYL ALCOHOL (SARA 313) (VP = 90 @ 68F), ALIPHATIC PETROLEUM DISTILLATES (SARA 313) (VP = 15 @ 100F), METHYL ETHYL KETONE (2-BUTANONE) (MEK) (SARA 313) (CERCLA), DI-SEC-OCTYL PHTHALATE (DI-2-ETHYLHEXYLPHTHALATE) (SARA, VOC = 4.78 LB/GL; STRONG OXIDIZING AGENTS;IGNITION SOURCES;Respiratory Protection:USE MSHA/NIOSH APPROVED UNITS. USE UNITS PER CURRENT 29 CFR 1910.134 REGULATIONS & FOLLOW MANUFACTURERS' INSTRUCTIONS & WARNINGS. AIR PURIFYING OV/FILTER UNITS MAY BE ACCEPTABLE. Ventilation:LOCAL AND MECHANICAL EXHAUST. Protective Gloves:RUBBER GLOVES Eye Protection:SAFETY GLASSES W/SIDE SHIELDS OR GOGGLES Other Protective Equipment:EYE BATH AND SAFETY SHOWER. Work Hygienic Practices:MAINTAIN GOOD PERSON HYGIENE. DO NOT USE IN CONFINED AREAS WITHOUT ADEQUATE VENTILATION. Supplemental Safety and Health NK;
DAP KWIK-SEAL TUB & TILE CAULK;TITANIUM DIOXIDE, ETHYLENE GLYCOL (SARA III), N-BUTYL ACETATE (SARA III), PLASTICIZER, INERT INGREDIENTS (TYPE NOT SPECIFIED); STRONG OXIDIZERS & CAUSTICS;EXCESSIVE HEAT, FREEZING;Respiratory Protection:IF TLV IS EXCEEDED FOR ANY COMPONENT AN APPROVED NIOSH/MSHA RESPIRATOR. Ventilation:PROVIDE SUFFICIENT MECHANICAL (GENERAL) OR LOCAL EXHAUST VENTILATION TO KEEP <TLV. Protective Gloves:RECOMMENDED Eye Protection:GOGGLES, SAFETY GLASSES W/SIDESHIELDS Supplemental Safety and Health;
